id района,год,предмет,этап всош,результат
Новгородский,2024,МКХ,Регион,150
Великий Новгород,2024,МКХ,Регион,148
Великий Новгород,2024,МКХ,Регион,141
Великий Новгород,2024,МКХ,Регион,127
Великий Новгород,2024,МКХ,Регион,120
Великий Новгород,2024,МКХ,Регион,118
Великий Новгород,2024,МКХ,Регион,114
Великий Новгород,2024,МКХ,Регион,111
Старорусский,2024,МКХ,Регион,108
Старорусский,2024,МКХ,Регион,80
Великий Новгород,2024,МКХ,Регион,67
Боровичский,2024,МКХ,Регион,66
Старорусский,2024,МКХ,Регион,61
Старорусский,2024,МКХ,Регион,57
Боровичский,2024,МКХ,Регион,56
Боровичский,2024,МКХ,Регион,49
Великий Новгород,2024,МКХ,Регион,48
Великий Новгород,2024,МКХ,Регион,46
Старорусский,2024,МКХ,Регион,45
Великий Новгород,2024,МКХ,Регион,44
Старорусский,2024,МКХ,Регион,41
Великий Новгород,2024,МКХ,Регион,37
Великий Новгород,2024,МКХ,Регион,35
Великий Новгород,2024,Русский язык,Регион,38
Старорусский,2024,Русский язык,Регион,34
Великий Новгород,2024,Русский язык,Регион,32
Великий Новгород,2024,Русский язык,Регион,23
Великий Новгород,2024,Русский язык,Регион,23
Старорусский,2024,Русский язык,Регион,21
Великий Новгород,2024,Русский язык,Регион,19
Боровичский,2024,Русский язык,Регион,19
Боровичский,2024,Русский язык,Регион,18
Старорусский,2024,Русский язык,Регион,999
Великий Новгород,2024,Русский язык,Регион,15
Чудовский,2024,Русский язык,Регион,15
Окуловский,2024,Русский язык,Регион,14
Великий Новгород,2024,Русский язык,Регион,13
Окуловский,2024,Русский язык,Регион,13
Демянский,2024,Русский язык,Регион,13
Старорусский,2024,Русский язык,Регион,13
Старорусский,2024,Русский язык,Регион,13
Старорусский,2024,Русский язык,Регион,12
Великий Новгород,2024,Русский язык,Регион,11
Пестовский,2024,Русский язык,Регион,11
Великий Новгород,2024,Русский язык,Регион,10
Великий Новгород,2024,Русский язык,Регион,10
Великий Новгород,2024,Русский язык,Регион,10
Хвойнинский,2024,Русский язык,Регион,10
Великий Новгород,2024,Русский язык,Регион,9
Чудовский,2024,Русский язык,Регион,9
Хвойнинский,2024,Русский язык,Регион,9
Парфинский,2024,Русский язык,Регион,9
Великий Новгород,2024,Русский язык,Регион,8
Великий Новгород,2024,Русский язык,Регион,8
Великий Новгород,2024,Русский язык,Регион,8
Шимский,2024,Русский язык,Регион,8
Старорусский,2024,Русский язык,Регион,8
Старорусский,2024,Русский язык,Регион,8
Великий Новгород,2024,Русский язык,Регион,6
Великий Новгород,2024,Русский язык,Регион,6
Великий Новгород,2024,Русский язык,Регион,6
Великий Новгород,2024,Русский язык,Регион,6
Великий Новгород,2024,Русский язык,Регион,6
Великий Новгород,2024,Русский язык,Регион,6
Великий Новгород,2024,Русский язык,Регион,5
Великий Новгород,2024,Русский язык,Регион,4
Великий Новгород,2024,Русский язык,Регион,4
Великий Новгород,2024,Русский язык,Регион,4
Великий Новгород,2024,Русский язык,Регион,4
Маловишерский,2024,Русский язык,Регион,4
Шимский,2024,Русский язык,Регион,4
Шимский,2024,Русский язык,Регион,4
Старорусский,2024,Русский язык,Регион,4
Батецкий,2024,Русский язык,Регион,3
Старорусский,2024,Русский язык,Регион,3
Великий Новгород,2024,Русский язык,Регион,2
Великий Новгород,2024,Русский язык,Регион,2
Великий Новгород,2024,Русский язык,Регион,2
Великий Новгород,2024,Русский язык,Регион,2
Великий Новгород,2024,Русский язык,Регион,2
Мошенской,2024,Русский язык,Регион,2
Старорусский,2024,Русский язык,Регион,2
Старорусский,2024,Русский язык,Регион,2
Великий Новгород,2024,Русский язык,Регион,1
Великий Новгород,2024,Русский язык,Регион,1
Великий Новгород,2024,Русский язык,Регион,1
Крестецкий,2024,Русский язык,Регион,1
Великий Новгород,2024,Русский язык,Регион,0
Волотовский,2024,Русский язык,Регион,0
Великий Новгород,2024,Химия,Регион,28.5
Старорусский,2024,Химия,Регион,25
Великий Новгород,2024,Химия,Регион,28
Великий Новгород,2024,Химия,Регион,23.8
Старорусский,2024,Химия,Регион,23
Старорусский,2024,Химия,Регион,
Старорусский,2024,Химия,Регион,17.3
Великий Новгород,2024,Химия,Регион,15.3
Великий Новгород,2024,Химия,Регион,13.8
Боровичский,2024,Химия,Регион,11.3
Боровичский,2024,Химия,Регион,10
Великий Новгород,2024,Химия,Регион,8.8
Великий Новгород,2024,Химия,Регион,8.5
Великий Новгород,2024,Химия,Регион,5.5
Великий Новгород,2024,Химия,Регион,3.5
Великий Новгород,2024,Химия,Регион,3
Великий Новгород,2024,Биология,Регион,40.6
Великий Новгород,2024,Биология,Регион,
Солецкий,2024,Биология,Регион,34
Солецкий,2024,Биология,Регион,32.7
Солецкий,2024,Биология,Регион,30.5
Солецкий,2024,Биология,Регион,30
Боровичский,2024,Биология,Регион,28.3
Солецкий,2024,Биология,Регион,25.3
Солецкий,2024,Биология,Регион,25
Солецкий,2024,Биология,Регион,24.3
Солецкий,2024,Биология,Регион,23.5
Великий Новгород,2024,Физика ,Регион,5
Великий Новгород,2024,Физика ,Регион,7
Великий Новгород,2024,Физика ,Регион,8
Великий Новгород,2024,Физика ,Регион,11
Великий Новгород,2024,Физика ,Регион,20
Великий Новгород,2024,Физика ,Регион,15
Старорусский,2024,Физика ,Регион,17
Великий Новгород,2024,Физика ,Регион,14
Великий Новгород,2024,Физика ,Регион,13
Великий Новгород,2024,Физика ,Регион,10
Великий Новгород,2024,Физика ,Регион,8
Великий Новгород,2024,Физика ,Регион,8
Великий Новгород,2024,Физика ,Регион,6
Мошенской,2024,Физика ,Регион,6
Окуловский,2024,Обществознание,Регион,100
Великий Новгород,2024,Обществознание,Регион,50
Старорусский,2024,Обществознание,Регион,66
Великий Новгород,2024,Обществознание,Регион,88
Великий Новгород,2024,Обществознание,Регион,65
Пестовский,2024,Обществознание,Регион,77
Великий Новгород,2024,Обществознание,Регион,55
Великий Новгород,2024,Обществознание,Регион,66
Великий Новгород,2024,Обществознание,Регион,28
Пестовский,2024,Обществознание,Регион,7
Валдайский,2024,Обществознание,Регион,7
Валдайский,2024,Обществознание,Регион,85
Крестецкий,2024,Обществознание,Регион,60
Шимский,2024,Обществознание,Регион,24
Батецкий,2024,Обществознание,Регион,89
Великий Новгород,2024,Обществознание,Регион,34
Маловишерский,2024,Обществознание,Регион,25
Шимский,2024,Обществознание,Регион,48
Маловишерский,2024,Обществознание,Регион,17
Шимский,2024,Обществознание,Регион,7
Мошенской,2024,Обществознание,Регион,7
,,,,
